mean_x,mean_y,mean_z,min_x,min_y,min_z,max_x,max_y,max_z,median_x,median_y,median_z
-0.03947,0.99004,-0.006,-0.047,0.985,-0.015,-0.029,0.997,0.003,-0.041,0.991,-0.003
-0.03932,0.98998,-0.00567,-0.047,0.985,-0.015,-0.029,0.997,0.0,-0.0395,0.991,-0.003
-0.03902,0.98971,-0.0057,-0.047,0.985,-0.012,-0.029,0.997,0.0,-0.041,0.991,-0.003
-0.03944,0.98992,-0.00618,-0.047,0.985,-0.012,-0.032,0.997,0.0,-0.041,0.991,-0.009
-0.03983,0.98971,-0.006,-0.047,0.985,-0.012,-0.032,0.997,0.0,-0.041,0.991,-0.003
-0.03986,0.98965,-0.00498,-0.047,0.985,-0.012,-0.032,0.997,0.0,-0.041,0.9895,-0.003
-0.03953,0.99019,-0.00519,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03911,0.99022,-0.00534,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03893,0.98995,-0.00516,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03875,0.98968,-0.00504,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03911,0.98962,-0.00522,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03899,0.98941,-0.0057,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.988,-0.003
-0.03893,0.98962,-0.00588,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.988,-0.003
-0.03965,0.98977,-0.00576,-0.044,0.988,-0.012,-0.032,0.997,0.0,-0.041,0.991,-0.003
-0.0395,0.98962,-0.00528,-0.044,0.985,-0.012,-0.032,0.997,0.003,-0.038,0.991,-0.003
-0.03899,0.98956,-0.00522,-0.041,0.985,-0.012,-0.032,0.997,0.003,-0.038,0.991,-0.003
-0.03914,0.98989,-0.00552,-0.047,0.982,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03884,0.99061,-0.00573,-0.047,0.982,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03854,0.99034,-0.00552,-0.041,0.988,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03839,0.98995,-0.00519,-0.041,0.988,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03827,0.98983,-0.0051,-0.044,0.988,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03848,0.98971,-0.00552,-0.044,0.988,-0.012,-0.032,0.997,0.0,-0.038,0.988,-0.003
-0.0383,0.98989,-0.00498,-0.044,0.988,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03851,0.98977,-0.00453,-0.044,0.985,-0.009,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03857,0.98995,-0.00471,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03824,0.99001,-0.00504,-0.041,0.985,-0.015,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03839,0.98977,-0.00564,-0.041,0.985,-0.015,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03821,0.98977,-0.0054,-0.041,0.985,-0.009,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03806,0.98971,-0.00531,-0.041,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03812,0.98986,-0.00504,-0.041,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03797,0.9901,-0.00465,-0.041,0.988,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03815,0.99001,-0.00525,-0.041,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03827,0.9898,-0.006,-0.041,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.006
-0.038,0.98992,-0.00579,-0.041,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03821,0.99001,-0.00552,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03821,0.98995,-0.00531,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03767,0.99031,-0.00525,-0.044,0.988,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03761,0.99007,-0.00543,-0.041,0.988,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03782,0.98932,-0.00513,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.988,-0.003
-0.038,0.98947,-0.0054,-0.044,0.985,-0.009,-0.032,0.997,0.0,-0.038,0.988,-0.003
-0.03818,0.99007,-0.00612,-0.041,0.985,-0.009,-0.032,0.997,0.0,-0.038,0.991,-0.009
-0.03821,0.98992,-0.00636,-0.041,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.009
-0.03752,0.98986,-0.00543,-0.044,0.988,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03719,0.99013,-0.00495,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03728,0.98977,-0.00522,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03728,0.98977,-0.00507,-0.041,0.985,-0.009,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03767,0.99043,-0.00555,-0.044,0.985,-0.009,-0.032,0.997,0.0,-0.038,0.991,-0.003
-0.03743,0.9904,-0.00651,-0.044,0.985,-0.012,-0.032,0.997,0.0,-0.038,0.991,-0.009
-0.03725,0.99007,-0.00606,-0.044,0.988,-0.012,-0.032,0.997,-0.003,-0.038,0.991,-0.006
-0.03722,0.98989,-0.00516,-0.044,0.985,-0.009,-0.032,0.997,0.0,-0.038,0.991,-0.003
